exposure_id,outcome_id,is.bestmatch,match.type,ETOS
ebi-a-GCST90018729,bbj-a-137,TRUE,Exact Match,Weight-Osteoporosis and bbj-a-137
ebi-a-GCST90018730,bbj-a-137,TRUE,Exact Match,C-reactive protein-Osteoporosis and bbj-a-137
ebi-a-GCST90018733,bbj-a-137,TRUE,Exact Match,Eosinophil count-Osteoporosis and bbj-a-137
ebi-a-GCST90018736,bbj-a-137,TRUE,Exact Match,HDL cholesterol-Osteoporosis and bbj-a-137
ebi-a-GCST90018738,bbj-a-137,TRUE,Exact Match,Hemoglobin A1c-Osteoporosis and bbj-a-137
ebi-a-GCST90018744,bbj-a-137,TRUE,Exact Match,Mean corpuscular hemoglobin-Osteoporosis and bbj-a-137
ebi-a-GCST90018745,bbj-a-137,TRUE,Exact Match,Mean corpuscular hemoglobin concentration-Osteoporosis and bbj-a-137
ebi-a-GCST90018755,bbj-a-137,TRUE,Exact Match,Triglycerides-Osteoporosis and bbj-a-137
ebi-a-GCST90103753,bbj-a-137,FALSE,Continental Match,Waist circumference-Osteoporosis and bbj-a-137
finngen_R10_BMI_IRN,bbj-a-137,FALSE,Continental Mismatch,Body Mass Index-Osteoporosis and bbj-a-137
finngen_R10_HEIGHT_IRN,bbj-a-137,FALSE,Continental Mismatch,Height-Osteoporosis and bbj-a-137
GCST006433,bbj-a-137,FALSE,Continental Mismatch,Bone mineral density-Osteoporosis and bbj-a-137
GCST009777,bbj-a-137,FALSE,Continental Mismatch,C-reactive protein-Osteoporosis and bbj-a-137
GCST90278621,bbj-a-137,TRUE,Continental Match,Bone mineral density-Osteoporosis and bbj-a-137
GCST90278623,bbj-a-137,FALSE,Continental Match,Urea-Osteoporosis and bbj-a-137
GCST90278632,bbj-a-137,FALSE,Continental Match,Hemoglobin A1c-Osteoporosis and bbj-a-137
GCST90278633,bbj-a-137,TRUE,Continental Match,Hip circumference-Osteoporosis and bbj-a-137
GCST90278635,bbj-a-137,FALSE,Continental Match,HDL cholesterol-Osteoporosis and bbj-a-137
GCST90278637,bbj-a-137,FALSE,Continental Match,Height-Osteoporosis and bbj-a-137
GCST90278642,bbj-a-137,FALSE,Continental Match,Systolic Blood Pressure-Osteoporosis and bbj-a-137
GCST90278646,bbj-a-137,FALSE,Continental Match,Urate-Osteoporosis and bbj-a-137
GCST90278648,bbj-a-137,TRUE,Continental Match,Waist circumference-Osteoporosis and bbj-a-137
GCST90278649,bbj-a-137,TRUE,Continental Match,Waist-hip ratio-Osteoporosis and bbj-a-137
GCST90278650,bbj-a-137,FALSE,Continental Match,Weight-Osteoporosis and bbj-a-137
GCST90296613,bbj-a-137,FALSE,Continental Mismatch,Weight-Osteoporosis and bbj-a-137
ieu-a-1055,bbj-a-137,FALSE,Continental Mismatch,Urate-Osteoporosis and bbj-a-137
ieu-a-79,bbj-a-137,FALSE,Continental Mismatch,Waist-hip ratio-Osteoporosis and bbj-a-137
ieu-b-109,bbj-a-137,FALSE,Continental Mismatch,HDL cholesterol-Osteoporosis and bbj-a-137
ieu-b-110,bbj-a-137,FALSE,Continental Mismatch,LDL cholesterol-Osteoporosis and bbj-a-137
ieu-b-111,bbj-a-137,FALSE,Continental Mismatch,Triglycerides-Osteoporosis and bbj-a-137
ukb-b-10787,bbj-a-137,FALSE,Continental Mismatch,Height-Osteoporosis and bbj-a-137
ukb-b-11842,bbj-a-137,FALSE,Continental Mismatch,Weight-Osteoporosis and bbj-a-137
ukb-b-15590,bbj-a-137,FALSE,Continental Mismatch,Hip circumference-Osteoporosis and bbj-a-137
ukb-b-19953,bbj-a-137,FALSE,Continental Mismatch,Body Mass Index-Osteoporosis and bbj-a-137
ukb-b-20175,bbj-a-137,FALSE,Continental Mismatch,Systolic Blood Pressure-Osteoporosis and bbj-a-137
ukb-b-2303,bbj-a-137,FALSE,Continental Mismatch,Body Mass Index-Osteoporosis and bbj-a-137
ukb-b-9405,bbj-a-137,FALSE,Continental Mismatch,Waist circumference-Osteoporosis and bbj-a-137
ukb-d-30010_irnt,bbj-a-137,FALSE,Continental Mismatch,RBC count-Osteoporosis and bbj-a-137
ukb-d-30080_irnt,bbj-a-137,FALSE,Continental Mismatch,Platelet count-Osteoporosis and bbj-a-137
ukb-d-30120_irnt,bbj-a-137,FALSE,Continental Mismatch,Lymphocyte count-Osteoporosis and bbj-a-137
ukb-d-30130_irnt,bbj-a-137,FALSE,Continental Mismatch,Monocyte count-Osteoporosis and bbj-a-137
ukb-d-30140_irnt,bbj-a-137,FALSE,Continental Mismatch,Neutrophil count-Osteoporosis and bbj-a-137
ukb-e-30000_AFR,bbj-a-137,FALSE,Continental Mismatch,WBC count-Osteoporosis and bbj-a-137
ukb-e-30010_AFR,bbj-a-137,FALSE,Continental Mismatch,RBC count-Osteoporosis and bbj-a-137
ukb-e-30080_AFR,bbj-a-137,FALSE,Continental Mismatch,Platelet count-Osteoporosis and bbj-a-137
ukb-e-30120_AFR,bbj-a-137,FALSE,Continental Mismatch,Lymphocyte count-Osteoporosis and bbj-a-137
ukb-e-30130_AFR,bbj-a-137,FALSE,Continental Mismatch,Monocyte count-Osteoporosis and bbj-a-137
ukb-e-30140_AFR,bbj-a-137,FALSE,Continental Mismatch,Neutrophil count-Osteoporosis and bbj-a-137
ukb-e-30150_AFR,bbj-a-137,FALSE,Continental Mismatch,Eosinophil count-Osteoporosis and bbj-a-137
ukb-e-30160_AFR,bbj-a-137,FALSE,Continental Mismatch,Basophil counts-Osteoporosis and bbj-a-137
bbj-a-1,bbj-a-159,TRUE,Exact Match,Body Mass Index-Coronary Heart Disease and bbj-a-159
bbj-a-12,bbj-a-159,TRUE,Exact Match,Basophil counts-Coronary Heart Disease and bbj-a-159
bbj-a-31,bbj-a-159,TRUE,Exact Match,LDL cholesterol-Coronary Heart Disease and bbj-a-159
bbj-a-36,bbj-a-159,TRUE,Exact Match,Lymphocyte count-Coronary Heart Disease and bbj-a-159
bbj-a-41,bbj-a-159,TRUE,Exact Match,Monocyte count-Coronary Heart Disease and bbj-a-159
bbj-a-44,bbj-a-159,TRUE,Exact Match,Neutrophil count-Coronary Heart Disease and bbj-a-159
bbj-a-49,bbj-a-159,TRUE,Exact Match,Platelet count-Coronary Heart Disease and bbj-a-159
bbj-a-50,bbj-a-159,TRUE,Exact Match,RBC count-Coronary Heart Disease and bbj-a-159
bbj-a-52,bbj-a-159,TRUE,Exact Match,Systolic Blood Pressure-Coronary Heart Disease and bbj-a-159
bbj-a-57,bbj-a-159,TRUE,Exact Match,Urate-Coronary Heart Disease and bbj-a-159
bbj-a-58,bbj-a-159,TRUE,Exact Match,WBC count-Coronary Heart Disease and bbj-a-159
bbj-a-70,bbj-a-159,TRUE,Exact Match,Height-Coronary Heart Disease and bbj-a-159
ebi-a-GCST006979,bbj-a-159,FALSE,Continental Mismatch,Bone mineral density-Coronary Heart Disease and bbj-a-159
ebi-a-GCST008025,bbj-a-159,FALSE,Continental Mismatch,Body Mass Index-Coronary Heart Disease and bbj-a-159
ebi-a-GCST008035,bbj-a-159,FALSE,Continental Mismatch,HDL cholesterol-Coronary Heart Disease and bbj-a-159
ebi-a-GCST008037,bbj-a-159,FALSE,Continental Mismatch,LDL cholesterol-Coronary Heart Disease and bbj-a-159
ebi-a-GCST008038,bbj-a-159,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Coronary Heart Disease and bbj-a-159
ebi-a-GCST008039,bbj-a-159,FALSE,Continental Mismatch,Platelet count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST008052,bbj-a-159,FALSE,Continental Mismatch,Waist-hip ratio-Coronary Heart Disease and bbj-a-159
ebi-a-GCST008053,bbj-a-159,FALSE,Continental Mismatch,Height-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90000618,bbj-a-159,FALSE,Continental Mismatch,Vitamin D-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002295,bbj-a-159,FALSE,Continental Mismatch,Basophil counts-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002301,bbj-a-159,FALSE,Continental Mismatch,Eosinophil count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002319,bbj-a-159,FALSE,Continental Mismatch,Lymphocyte count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002325,bbj-a-159,FALSE,Continental Mismatch,Mean corpuscular hemoglobin-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002331,bbj-a-159,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002343,bbj-a-159,FALSE,Continental Mismatch,Monocyte count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002354,bbj-a-159,FALSE,Continental Mismatch,Neutrophil count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002360,bbj-a-159,FALSE,Continental Mismatch,Platelet count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002366,bbj-a-159,FALSE,Continental Mismatch,RBC count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002377,bbj-a-159,FALSE,Continental Mismatch,WBC count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002379,bbj-a-159,FALSE,Continental Mismatch,Basophil counts-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002381,bbj-a-159,FALSE,Continental Mismatch,Eosinophil count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002390,bbj-a-159,FALSE,Continental Mismatch,Mean corpuscular hemoglobin-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002391,bbj-a-159,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90002407,bbj-a-159,FALSE,Continental Mismatch,WBC count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90013998,bbj-a-159,FALSE,Continental Mismatch,Urea-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90014015,bbj-a-159,FALSE,Continental Mismatch,Urate-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018728,bbj-a-159,TRUE,Exact Match,Urea-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018729,bbj-a-159,TRUE,Exact Match,Weight-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018730,bbj-a-159,TRUE,Exact Match,C-reactive protein-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018733,bbj-a-159,TRUE,Exact Match,Eosinophil count-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018736,bbj-a-159,TRUE,Exact Match,HDL cholesterol-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018738,bbj-a-159,TRUE,Exact Match,Hemoglobin A1c-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018744,bbj-a-159,TRUE,Exact Match,Mean corpuscular hemoglobin-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018745,bbj-a-159,TRUE,Exact Match,Mean corpuscular hemoglobin concentration-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90018755,bbj-a-159,TRUE,Exact Match,Triglycerides-Coronary Heart Disease and bbj-a-159
ebi-a-GCST90103753,bbj-a-159,FALSE,Continental Match,Waist circumference-Coronary Heart Disease and bbj-a-159
finngen_R10_BMI_IRN,bbj-a-159,FALSE,Continental Mismatch,Body Mass Index-Coronary Heart Disease and bbj-a-159
finngen_R10_HEIGHT_IRN,bbj-a-159,FALSE,Continental Mismatch,Height-Coronary Heart Disease and bbj-a-159
GCST006433,bbj-a-159,FALSE,Continental Mismatch,Bone mineral density-Coronary Heart Disease and bbj-a-159
GCST009777,bbj-a-159,FALSE,Continental Mismatch,C-reactive protein-Coronary Heart Disease and bbj-a-159
GCST90278621,bbj-a-159,TRUE,Continental Match,Bone mineral density-Coronary Heart Disease and bbj-a-159
GCST90278623,bbj-a-159,FALSE,Continental Match,Urea-Coronary Heart Disease and bbj-a-159
GCST90278632,bbj-a-159,FALSE,Continental Match,Hemoglobin A1c-Coronary Heart Disease and bbj-a-159
GCST90278633,bbj-a-159,TRUE,Continental Match,Hip circumference-Coronary Heart Disease and bbj-a-159
GCST90278635,bbj-a-159,FALSE,Continental Match,HDL cholesterol-Coronary Heart Disease and bbj-a-159
GCST90278637,bbj-a-159,FALSE,Continental Match,Height-Coronary Heart Disease and bbj-a-159
GCST90278642,bbj-a-159,FALSE,Continental Match,Systolic Blood Pressure-Coronary Heart Disease and bbj-a-159
GCST90278646,bbj-a-159,FALSE,Continental Match,Urate-Coronary Heart Disease and bbj-a-159
GCST90278648,bbj-a-159,TRUE,Continental Match,Waist circumference-Coronary Heart Disease and bbj-a-159
GCST90278649,bbj-a-159,TRUE,Continental Match,Waist-hip ratio-Coronary Heart Disease and bbj-a-159
GCST90278650,bbj-a-159,FALSE,Continental Match,Weight-Coronary Heart Disease and bbj-a-159
GCST90296613,bbj-a-159,FALSE,Continental Mismatch,Weight-Coronary Heart Disease and bbj-a-159
ieu-a-1055,bbj-a-159,FALSE,Continental Mismatch,Urate-Coronary Heart Disease and bbj-a-159
ieu-a-79,bbj-a-159,FALSE,Continental Mismatch,Waist-hip ratio-Coronary Heart Disease and bbj-a-159
ieu-b-109,bbj-a-159,FALSE,Continental Mismatch,HDL cholesterol-Coronary Heart Disease and bbj-a-159
ieu-b-110,bbj-a-159,FALSE,Continental Mismatch,LDL cholesterol-Coronary Heart Disease and bbj-a-159
ieu-b-111,bbj-a-159,FALSE,Continental Mismatch,Triglycerides-Coronary Heart Disease and bbj-a-159
ukb-b-10787,bbj-a-159,FALSE,Continental Mismatch,Height-Coronary Heart Disease and bbj-a-159
ukb-b-11842,bbj-a-159,FALSE,Continental Mismatch,Weight-Coronary Heart Disease and bbj-a-159
ukb-b-15590,bbj-a-159,FALSE,Continental Mismatch,Hip circumference-Coronary Heart Disease and bbj-a-159
ukb-b-19953,bbj-a-159,FALSE,Continental Mismatch,Body Mass Index-Coronary Heart Disease and bbj-a-159
ukb-b-20175,bbj-a-159,FALSE,Continental Mismatch,Systolic Blood Pressure-Coronary Heart Disease and bbj-a-159
ukb-b-2303,bbj-a-159,FALSE,Continental Mismatch,Body Mass Index-Coronary Heart Disease and bbj-a-159
ukb-b-9405,bbj-a-159,FALSE,Continental Mismatch,Waist circumference-Coronary Heart Disease and bbj-a-159
ukb-d-30010_irnt,bbj-a-159,FALSE,Continental Mismatch,RBC count-Coronary Heart Disease and bbj-a-159
ukb-d-30080_irnt,bbj-a-159,FALSE,Continental Mismatch,Platelet count-Coronary Heart Disease and bbj-a-159
ukb-d-30120_irnt,bbj-a-159,FALSE,Continental Mismatch,Lymphocyte count-Coronary Heart Disease and bbj-a-159
ukb-d-30130_irnt,bbj-a-159,FALSE,Continental Mismatch,Monocyte count-Coronary Heart Disease and bbj-a-159
ukb-d-30140_irnt,bbj-a-159,FALSE,Continental Mismatch,Neutrophil count-Coronary Heart Disease and bbj-a-159
ukb-e-30000_AFR,bbj-a-159,FALSE,Continental Mismatch,WBC count-Coronary Heart Disease and bbj-a-159
ukb-e-30010_AFR,bbj-a-159,FALSE,Continental Mismatch,RBC count-Coronary Heart Disease and bbj-a-159
ukb-e-30080_AFR,bbj-a-159,FALSE,Continental Mismatch,Platelet count-Coronary Heart Disease and bbj-a-159
ukb-e-30120_AFR,bbj-a-159,FALSE,Continental Mismatch,Lymphocyte count-Coronary Heart Disease and bbj-a-159
ukb-e-30130_AFR,bbj-a-159,FALSE,Continental Mismatch,Monocyte count-Coronary Heart Disease and bbj-a-159
ukb-e-30140_AFR,bbj-a-159,FALSE,Continental Mismatch,Neutrophil count-Coronary Heart Disease and bbj-a-159
ukb-e-30150_AFR,bbj-a-159,FALSE,Continental Mismatch,Eosinophil count-Coronary Heart Disease and bbj-a-159
ukb-e-30160_AFR,bbj-a-159,FALSE,Continental Mismatch,Basophil counts-Coronary Heart Disease and bbj-a-159
bbj-a-1,bbj-a-160,TRUE,Exact Match,Body Mass Index-Breast Cancer and bbj-a-160
bbj-a-12,bbj-a-160,TRUE,Exact Match,Basophil counts-Breast Cancer and bbj-a-160
bbj-a-31,bbj-a-160,TRUE,Exact Match,LDL cholesterol-Breast Cancer and bbj-a-160
bbj-a-36,bbj-a-160,TRUE,Exact Match,Lymphocyte count-Breast Cancer and bbj-a-160
bbj-a-41,bbj-a-160,TRUE,Exact Match,Monocyte count-Breast Cancer and bbj-a-160
bbj-a-44,bbj-a-160,TRUE,Exact Match,Neutrophil count-Breast Cancer and bbj-a-160
bbj-a-49,bbj-a-160,TRUE,Exact Match,Platelet count-Breast Cancer and bbj-a-160
bbj-a-50,bbj-a-160,TRUE,Exact Match,RBC count-Breast Cancer and bbj-a-160
bbj-a-52,bbj-a-160,TRUE,Exact Match,Systolic Blood Pressure-Breast Cancer and bbj-a-160
bbj-a-57,bbj-a-160,TRUE,Exact Match,Urate-Breast Cancer and bbj-a-160
bbj-a-58,bbj-a-160,TRUE,Exact Match,WBC count-Breast Cancer and bbj-a-160
bbj-a-70,bbj-a-160,TRUE,Exact Match,Height-Breast Cancer and bbj-a-160
ebi-a-GCST006979,bbj-a-160,FALSE,Continental Mismatch,Bone mineral density-Breast Cancer and bbj-a-160
ebi-a-GCST008025,bbj-a-160,FALSE,Continental Mismatch,Body Mass Index-Breast Cancer and bbj-a-160
ebi-a-GCST008035,bbj-a-160,FALSE,Continental Mismatch,HDL cholesterol-Breast Cancer and bbj-a-160
ebi-a-GCST008037,bbj-a-160,FALSE,Continental Mismatch,LDL cholesterol-Breast Cancer and bbj-a-160
ebi-a-GCST008038,bbj-a-160,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Breast Cancer and bbj-a-160
ebi-a-GCST008039,bbj-a-160,FALSE,Continental Mismatch,Platelet count-Breast Cancer and bbj-a-160
ebi-a-GCST008052,bbj-a-160,FALSE,Continental Mismatch,Waist-hip ratio-Breast Cancer and bbj-a-160
ebi-a-GCST008053,bbj-a-160,FALSE,Continental Mismatch,Height-Breast Cancer and bbj-a-160
ebi-a-GCST90000618,bbj-a-160,FALSE,Continental Mismatch,Vitamin D-Breast Cancer and bbj-a-160
ebi-a-GCST90002295,bbj-a-160,FALSE,Continental Mismatch,Basophil counts-Breast Cancer and bbj-a-160
ebi-a-GCST90002301,bbj-a-160,FALSE,Continental Mismatch,Eosinophil count-Breast Cancer and bbj-a-160
ebi-a-GCST90002319,bbj-a-160,FALSE,Continental Mismatch,Lymphocyte count-Breast Cancer and bbj-a-160
ebi-a-GCST90002325,bbj-a-160,FALSE,Continental Mismatch,Mean corpuscular hemoglobin-Breast Cancer and bbj-a-160
ebi-a-GCST90002331,bbj-a-160,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Breast Cancer and bbj-a-160
ebi-a-GCST90002343,bbj-a-160,FALSE,Continental Mismatch,Monocyte count-Breast Cancer and bbj-a-160
ebi-a-GCST90002354,bbj-a-160,FALSE,Continental Mismatch,Neutrophil count-Breast Cancer and bbj-a-160
ebi-a-GCST90002360,bbj-a-160,FALSE,Continental Mismatch,Platelet count-Breast Cancer and bbj-a-160
ebi-a-GCST90002366,bbj-a-160,FALSE,Continental Mismatch,RBC count-Breast Cancer and bbj-a-160
ebi-a-GCST90002377,bbj-a-160,FALSE,Continental Mismatch,WBC count-Breast Cancer and bbj-a-160
ebi-a-GCST90002379,bbj-a-160,FALSE,Continental Mismatch,Basophil counts-Breast Cancer and bbj-a-160
ebi-a-GCST90002381,bbj-a-160,FALSE,Continental Mismatch,Eosinophil count-Breast Cancer and bbj-a-160
ebi-a-GCST90002390,bbj-a-160,FALSE,Continental Mismatch,Mean corpuscular hemoglobin-Breast Cancer and bbj-a-160
ebi-a-GCST90002391,bbj-a-160,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Breast Cancer and bbj-a-160
ebi-a-GCST90002407,bbj-a-160,FALSE,Continental Mismatch,WBC count-Breast Cancer and bbj-a-160
ebi-a-GCST90013998,bbj-a-160,FALSE,Continental Mismatch,Urea-Breast Cancer and bbj-a-160
ebi-a-GCST90014015,bbj-a-160,FALSE,Continental Mismatch,Urate-Breast Cancer and bbj-a-160
ebi-a-GCST90018728,bbj-a-160,TRUE,Exact Match,Urea-Breast Cancer and bbj-a-160
ebi-a-GCST90018729,bbj-a-160,TRUE,Exact Match,Weight-Breast Cancer and bbj-a-160
ebi-a-GCST90018730,bbj-a-160,TRUE,Exact Match,C-reactive protein-Breast Cancer and bbj-a-160
ebi-a-GCST90018733,bbj-a-160,TRUE,Exact Match,Eosinophil count-Breast Cancer and bbj-a-160
ebi-a-GCST90018736,bbj-a-160,TRUE,Exact Match,HDL cholesterol-Breast Cancer and bbj-a-160
ebi-a-GCST90018738,bbj-a-160,TRUE,Exact Match,Hemoglobin A1c-Breast Cancer and bbj-a-160
ebi-a-GCST90018744,bbj-a-160,TRUE,Exact Match,Mean corpuscular hemoglobin-Breast Cancer and bbj-a-160
ebi-a-GCST90018745,bbj-a-160,TRUE,Exact Match,Mean corpuscular hemoglobin concentration-Breast Cancer and bbj-a-160
ebi-a-GCST90018755,bbj-a-160,TRUE,Exact Match,Triglycerides-Breast Cancer and bbj-a-160
ebi-a-GCST90103753,bbj-a-160,FALSE,Continental Match,Waist circumference-Breast Cancer and bbj-a-160
finngen_R10_BMI_IRN,bbj-a-160,FALSE,Continental Mismatch,Body Mass Index-Breast Cancer and bbj-a-160
finngen_R10_HEIGHT_IRN,bbj-a-160,FALSE,Continental Mismatch,Height-Breast Cancer and bbj-a-160
GCST006433,bbj-a-160,FALSE,Continental Mismatch,Bone mineral density-Breast Cancer and bbj-a-160
GCST009777,bbj-a-160,FALSE,Continental Mismatch,C-reactive protein-Breast Cancer and bbj-a-160
GCST90278621,bbj-a-160,TRUE,Continental Match,Bone mineral density-Breast Cancer and bbj-a-160
GCST90278623,bbj-a-160,FALSE,Continental Match,Urea-Breast Cancer and bbj-a-160
GCST90278632,bbj-a-160,FALSE,Continental Match,Hemoglobin A1c-Breast Cancer and bbj-a-160
GCST90278633,bbj-a-160,TRUE,Continental Match,Hip circumference-Breast Cancer and bbj-a-160
GCST90278635,bbj-a-160,FALSE,Continental Match,HDL cholesterol-Breast Cancer and bbj-a-160
GCST90278637,bbj-a-160,FALSE,Continental Match,Height-Breast Cancer and bbj-a-160
GCST90278642,bbj-a-160,FALSE,Continental Match,Systolic Blood Pressure-Breast Cancer and bbj-a-160
GCST90278646,bbj-a-160,FALSE,Continental Match,Urate-Breast Cancer and bbj-a-160
GCST90278648,bbj-a-160,TRUE,Continental Match,Waist circumference-Breast Cancer and bbj-a-160
GCST90278649,bbj-a-160,TRUE,Continental Match,Waist-hip ratio-Breast Cancer and bbj-a-160
GCST90278650,bbj-a-160,FALSE,Continental Match,Weight-Breast Cancer and bbj-a-160
GCST90296613,bbj-a-160,FALSE,Continental Mismatch,Weight-Breast Cancer and bbj-a-160
ieu-a-1055,bbj-a-160,FALSE,Continental Mismatch,Urate-Breast Cancer and bbj-a-160
ieu-a-79,bbj-a-160,FALSE,Continental Mismatch,Waist-hip ratio-Breast Cancer and bbj-a-160
ieu-b-109,bbj-a-160,FALSE,Continental Mismatch,HDL cholesterol-Breast Cancer and bbj-a-160
ieu-b-110,bbj-a-160,FALSE,Continental Mismatch,LDL cholesterol-Breast Cancer and bbj-a-160
ieu-b-111,bbj-a-160,FALSE,Continental Mismatch,Triglycerides-Breast Cancer and bbj-a-160
